,0,1,2,3,4,5,6
0,192,202,0,13,1200,15122711,0
1,192,202,0,29,1200,15122718,0
2,191,202,0,35,1220,15122725,0
3,191,202,0,37,1220,15122732,0
4,191,202,0,33,1220,15122739,0
5,192,202,0,81,1190,15122914,0
6,190,204,0,119,1180,15122921,0
7,191,204,0,119,1190,15122928,0
8,191,204,0,122,1200,15122935,0
9,191,203,0,119,1200,15122942,0
10,192,203,0,118,1200,15122950,0
11,192,202,0,116,1200,15122957,0
12,192,202,0,115,1190,15122964,0
13,192,202,0,124,1180,15122971,0
14,192,202,0,144,1180,15122978,0
15,192,202,0,168,1190,15122985,0
16,192,202,0,201,1190,15122992,0
17,192,202,0,242,1210,15122999,0
18,192,202,0,276,1210,15123006,0
19,193,202,0,311,1220,15123013,0
20,193,202,0,331,1200,15123020,0
21,193,202,0,348,1180,15123027,0
22,193,202,0,365,1180,15123034,0
23,193,202,0,376,1170,15123041,0
24,193,202,0,386,1180,15123048,0
25,193,202,0,392,1190,15123055,0
26,193,202,0,392,1210,15123062,0
27,193,202,0,397,1210,15123069,0
28,193,202,0,399,1210,15123076,0
29,193,202,0,402,1190,15123083,0
30,193,202,0,412,1180,15123090,0
31,194,202,0,421,1190,15123097,0
32,194,202,0,431,1210,15123104,0
33,194,202,0,440,1210,15123111,0
34,194,202,0,440,1210,15123118,0
35,194,202,0,444,1210,15123125,0
36,195,202,0,446,1210,15123133,0
37,195,201,0,445,1220,15123140,0
38,195,201,0,449,1220,15123147,0
39,195,201,0,455,1230,15123154,0
40,195,201,0,462,1220,15123161,0
41,196,200,0,471,1220,15123168,0
42,196,200,0,474,1220,15123175,0
43,196,200,0,478,1230,15123182,0
44,196,199,0,482,1230,15123189,0
45,196,199,0,481,1230,15123196,0
46,197,199,0,484,1220,15123203,0
47,197,198,0,486,1220,15123210,0
48,197,198,0,484,1210,15123217,0
49,197,197,0,487,1200,15123224,0
50,197,197,0,489,1200,15123231,0
51,197,196,0,489,1200,15123238,0
52,197,196,0,496,1210,15123245,0
53,196,196,0,501,1220,15123252,0
54,196,196,0,509,1230,15123259,0
55,196,196,0,518,1230,15123266,0
56,196,196,0,521,1230,15123273,0
57,196,196,0,528,1220,15123280,0
58,195,196,0,535,1220,15123287,0
59,195,196,0,537,1220,15123294,0
60,195,195,0,543,1220,15123301,0
61,195,195,0,546,1230,15123308,0
62,195,195,0,549,1220,15123316,0
63,195,195,0,556,1230,15123323,0
64,195,194,0,557,1230,15123330,0
65,195,194,0,562,1230,15123337,0
66,194,194,0,567,1220,15123344,0
67,194,194,0,567,1210,15123351,0
68,194,194,0,568,1210,15123358,0
69,193,194,0,570,1210,15123365,0
70,193,194,0,568,1210,15123372,0
71,193,195,0,571,1220,15123379,0
72,193,195,0,572,1220,15123386,0
73,192,195,0,572,1220,15123393,0
74,192,195,0,577,1230,15123400,0
75,192,194,0,577,1230,15123407,0
76,192,194,0,579,1230,15123414,0
77,192,193,0,584,1230,15123421,0
78,192,193,0,585,1200,15123428,0
79,192,193,0,589,1200,15123435,0
80,192,193,0,596,1190,15123442,0
81,191,193,0,598,1180,15123449,0
82,191,193,0,602,1210,15123456,0
83,191,193,0,605,1200,15123463,0
84,191,193,0,603,1200,15123470,0
85,191,193,0,606,1220,15123477,0
86,190,192,0,606,1220,15123484,0
87,190,192,0,606,1220,15123491,0
88,190,192,0,610,1210,15123498,0
89,190,192,0,608,1210,15123506,0
90,190,191,0,613,1200,15123513,0
91,190,191,0,617,1200,15123520,0
92,190,190,0,616,1200,15123527,0
93,190,190,0,622,1170,15123534,0
94,190,190,0,622,1170,15123541,0
95,190,190,0,623,1170,15123548,0
96,190,190,0,627,1170,15123555,0
97,190,190,0,628,1200,15123562,0
98,190,190,0,628,1180,15123569,0
99,190,190,0,632,1200,15123576,0
100,190,189,0,627,1200,15123583,0
101,190,189,0,631,1200,15123590,0
102,190,189,0,634,1210,15123597,0
103,190,189,0,633,1210,15123604,0
104,190,189,0,634,1200,15123611,0
105,189,189,0,635,1190,15123618,0
